test_id,preset_key,tier,incident_id,fired_at,predicted_root_cause,root_cause_correct,cited_sources,citation_correct,forbidden_citation_hit,forbidden_root_cause_hit,latency_seconds,status,notes,analysis_full_text,run_index
A1-postgres-pool,postgres_p2_connections,A,20a36481-ae00-4cc7-9b7a-68011db43cf0,2026-09-01T21:14:37.911226,aria_db,True,RB-001_PostgreSQL_Connection_Exhaustion.pdf; RUNBOOK-AUTO-ARIA_DB-d1c823ac.md; RUNBOOK-AUTO-ARIA_DB-66bd443f.md,True,False,False,9.8,OK,Match directo: RB-001 cubre exactamente este escenario.,"**1. Quick diagnosis**
PostgreSQL connection pool exhaustion on `aria_db`. Active connections are at 99.6% capacity (498/500), rejecting new connections, and resulting in 127 waiting queries with 5400ms connection wait latency. This is consistent with `idle in transaction` connections or long-running queries consuming the connection pool.

**2. Recommended steps**
1.  **Diagnose connections:** Execute `SELECT count(*), state, usename FROM pg_stat_activity GROUP BY state, usename;` on `aria_db` to identify connection states and users.
2.  **Identify problematic queries:** Execute `SELECT pid, now() - query_start AS duration, query, state FROM pg_stat_activity WHERE state != 'idle' ORDER BY duration DESC;` on `aria_db` to pinpoint long-running or `idle in transaction` queries.
3.  **Terminate stalled processes:** Terminate connections with excessive duration (e.g., > 5 minutes) using `SELECT pg_terminate_backend(pid) FROM pg_stat_activity WHERE now() - query_start > INTERVAL '5 minutes';` on `aria_db`.

**3. Relevant context from KB**
*   **[RB-001_PostgreSQL_Connection_Exhaustion.pdf]**: Details problem description, symptoms (connection count > 90%, `TooManyConnectionsError`), and provides specific diagnostic SQL queries and immediate resolution steps, including terminating stalled processes.
*   **[RUNBOOK-AUTO-ARIA_DB-d1c823ac.md]**: Confirms incident type, metrics (498/500 active, 127 waiting queries, 5400ms latency), and identifies `idle in transaction` or long-duration queries on `aria_db` as the root cause.
*   **[RUNBOOK-AUTO-ARIA_DB-66bd443f.md]**: Reiterates `idle in transaction` or long-duration queries as the root cause and mentions automated remediation based on `RB-001`.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""aria_db""
}
```",1
A1-postgres-pool,postgres_p2_connections,A,5f6ee188-4745-4766-a465-40e544f762be,2026-09-01T21:14:50.750467,aria_db,True,,True,False,False,9.8,OK,Match directo: RB-001 cubre exactamente este escenario.,"1.  **Quick diagnosis**
    PostgreSQL connection pool exhaustion on `aria_db` (498/500 active connections), leading to new connection rejections and high latency (5400ms connection wait). This is consistent with unreleased `idle in transaction` connections or long-running queries.

2.  **Recommended steps**
    1.  **Diagnose Active Sessions:** Connect to `aria_db` and execute:
        `SELECT count(*), state, usename FROM pg_stat_activity GROUP BY state, usename;`
        `SELECT pid, now() - query_start AS duration, query, state FROM pg_stat_activity WHERE state != 'idle' ORDER BY duration DESC;`
    2.  **Terminate Stalled Processes:** Identify and terminate backend processes older than 5 minutes (or as appropriate per ongoing investigation):
        `SELECT pg_terminate_backend(pid) FROM pg_stat_activity WHERE now() - query_start > INTERVAL '5 minutes';`
    3.  **Monitor Recovery:** Observe `active_connections` and `waiting_queries` metrics for reduction.

3.  **Relevant context from KB**
    *   **Root Cause:** Recurrent connection pool exhaustion due to accumulation of `idle in transaction` connections or long-duration queries within the `aria_db` service. (RUNBOOK-AUTO-ARIA_DB-d1c823ac.md, RUNBOOK-AUTO-ARIA_DB-66bd443f.md)
    *   **Symptoms & Procedures:** Current alert metrics (99.6% utilization, 498/500 connections, 127 waiting queries, 5400ms wait) align directly with documented incidents. Diagnostic and resolution steps are based on `RB-001_PostgreSQL_Connection_Exhaustion.pdf`.
    *   **Similar Past Incidents:** This pattern is consistent with previous `[P2] PostgreSQL — connection pool near exhaustion` alerts.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""aria_db""
}
```",2
A1-postgres-pool,postgres_p2_connections,A,9e9f856b-1f65-440d-89a6-c5dc552599f2,2026-09-01T21:15:05.874188,aria_db,True,,True,False,False,13.8,OK,Match directo: RB-001 cubre exactamente este escenario.,"1.  **Quick diagnosis**
    Critical PostgreSQL connection pool exhaustion affecting `aria_db`. Active connections are at 99.6% (498/500), resulting in new connection rejections, 127 waiting queries, and a connection wait latency of 5400ms.

2.  **Recommended steps (numbered)**
    1.  **Diagnose problematic connections:**
        *   Identify active, `idle in transaction`, or long-running queries within `aria_db` using `pg_stat_activity`.
            *   `SELECT count(*), state, usename FROM pg_stat_activity GROUP BY state, usename;`
            *   `SELECT pid, now() - query_start AS duration, query, state FROM pg_stat_activity WHERE state != 'idle' ORDER BY duration DESC;`
    2.  **Terminate stalled processes:**
        *   Terminate `pg_backend` processes with durations exceeding 5 minutes or those identified as problematic `idle in transaction`.
            *   `SELECT pg_terminate_backend(pid) FROM pg_stat_activity WHERE now() - query_start > INTERVAL '5 minutes' AND state != 'idle';`

3.  **Relevant context from KB (cite sources)**
    *   **Problem & Symptoms:** This incident matches `RB-001_PostgreSQL_Connection_Exhaustion.pdf` description of connection pool exhaustion (99.6% utilization, connection rejections). The reported `connection_wait_ms` of 5400ms indicates severe latency.
    *   **Root Cause:** Consistent with previous incidents, the root cause is the accumulation of `idle in transaction` connections or long-duration queries originating from the `aria_db` service, which were not properly released. [RUNBOOK-AUTO-ARIA_DB-d1c823ac.md, RUNBOOK-AUTO-ARIA_DB-66bd443f.md]
    *   **Resolution:** The recommended immediate resolution is based on procedures defined in `RB-001_PostgreSQL_Connection_Exhaustion.pdf`, specifically terminating problematic backend processes.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""aria_db""
}
```",3
A2-redis-memory,redis_p3_memory,A,5bb2be2f-b2bd-463b-b504-8e050f26253e,2026-09-01T21:15:22.654060,redis-cache,True,Playbook-002_Redis_Memory_Eviction.pdf; RB-002_Redis_Memory_Saturation.pdf; RUNBOOK-AUTO-CACHE-90a86901.md,True,False,False,13.8,OK,Match directo: RB-002 + Playbook-002 cubren este escenario.,"1.  **Quick diagnosis**
    Redis memory usage is at 89.2% capacity, exceeding the 85% operational threshold and actively performing key eviction. This indicates memory pressure and potential for cache thrashing, leading to performance degradation.

2.  **Recommended steps**
    1.  Connect to the Redis CLI on `redis-cache` and verify detailed memory metrics and key eviction policies:
        `docker exec -it aria-redis-1 redis-cli info memory`
    2.  Identify the largest keys contributing to memory consumption to inform potential application-level optimizations:
        `redis-cli --bigkeys`
    3.  Execute a memory purge to release memory occupied by expired or volatile keys, given `used_memory_gb` (13.4GB) is above the 1.5GB threshold for this action:
        `redis-cli MEMORY PURGE`
    4.  Monitor `memory_usage_percent` and `evicted_keys_per_sec` metrics post-purge to confirm memory stabilization and reduced eviction activity.

3.  **Relevant context from KB**
    *   **[Playbook-002_Redis_Memory_Eviction.pdf]**: Directly addresses Redis instances operating above 85% RAM, causing premature eviction of user sessions and RAG context cache. Symptom: Datadog alert `Redis memory usage > 85%`.
    *   **[RB-002_Redis_Memory_Saturation.pdf]**: Describes Redis memory reaching its configured `maxmemory` limit, causing cache misses. Recommends verifying memory usage and purging the cache.
    *   **[RUNBOOK-AUTO-CACHE-90a86901.md]**: While describing a more critical OOM state (>98% memory), it underscores the impact of Redis memory saturation on application errors and latency due to failed evictions and blocked write commands.

```json
{
  ""root_cause"": ""redis-cache"",
  ""service_affected"": ""redis-cache""
}
```",1
A2-redis-memory,redis_p3_memory,A,39dbcbaa-2a28-4bf6-b68d-021143d53f2b,2026-09-01T21:15:41.787070,redis-cache,True,Playbook-002_Redis_Memory_Eviction.pdf; Playbook-002_Redis_Memory_Eviction.pdf; Playbook-002_Redis_Memory_Eviction.pdf; Playbook-002_Redis_Memory_Eviction.pdf; RUNBOOK-AUTO-CACHE-90a86901.md; RB-002_Redis_Memory_Saturation.pdf,True,False,False,13.8,OK,Match directo: RB-002 + Playbook-002 cubren este escenario.,"1.  **Quick diagnosis**
    The `redis-cache` instance is operating at 89.2% of its allocated memory (13.4GB / 15.0GB), exceeding the 85% threshold for proactive memory management. Active key eviction (234 keys/sec) is occurring, which indicates memory pressure and can lead to cache thrashing and potential performance degradation if sustained. The current hit rate (94.1%) is still healthy, suggesting the system is not yet critically impacted but requires immediate attention to prevent escalation.

2.  **Recommended steps**
    1.  **Inspect Redis Memory & Keys:** Connect to the `redis-cache` instance via Docker and execute `redis-cli info memory` to gather detailed memory statistics. Subsequently, run `redis-cli --bigkeys` to identify the largest memory-consuming keys.
        *   *Reference: [Playbook-002_Redis_Memory_Eviction.pdf], Steps 1 & 2*
    2.  **Execute Memory Purge:** Given the `used_memory_gb` is 13.4GB (which is significantly above the 1.5GB threshold), execute `redis-cli MEMORY PURGE` to actively reclaim memory from expired or volatile keys.
        *   *Reference: [Playbook-002_Redis_Memory_Eviction.pdf], Step 3*
    3.  **Verify Eviction Policy:** Confirm the current `maxmemory-policy` setting. If not already `allkeys-lru`, consider setting it temporarily via `redis-cli CONFIG SET maxmemory-policy allkeys-lru` to optimize eviction behavior for general caching use cases.
        *   *Reference: [Playbook-002_Redis_Memory_Eviction.pdf], Step 4*

3.  **Relevant context from KB**
    *   **[Playbook-002_Redis_Memory_Eviction.pdf]** (80.6% relevance): This playbook directly addresses Redis memory usage exceeding 85% and provides explicit steps for diagnosis and mitigation, including memory inspection, purging, and policy adjustment.
    *   **[RUNBOOK-AUTO-CACHE-90a86901.md]** (76.3% relevance): While describing a more critical Out-Of-Memory (OOM) scenario (98% usage, blocked writes), it highlights the potential escalation path if current memory pressure is not relieved, leading to severe application impact.
    *   **[RB-002_Redis_Memory_Saturation.pdf]** (74.3% relevance): Details symptoms of performance degradation due to Redis saturation, such as elevated cache miss rates and increased latency, which are potential downstream effects of sustained high memory usage and eviction.

```json
{
  ""root_cause"": ""redis-cache"",
  ""service_affected"": ""redis-cache""
}
```",2
A2-redis-memory,redis_p3_memory,A,d9babe61-f958-4bec-b17a-48f0ddc17425,2026-09-01T21:16:00.956738,redis-cache,True,,True,False,False,13.8,OK,Match directo: RB-002 + Playbook-002 cubren este escenario.,"## 1. Quick Diagnosis
Redis memory usage is at 89.2% (`13.4GB/15.0GB`), exceeding the 85% threshold. This high utilization is actively triggering the eviction policy (`234 evicted_keys_per_sec`), leading to potential cache thrashing and premature eviction of keys. This state can degrade application performance by increasing cache miss rates and latency.

**Likely Root Cause:** Redis memory saturation due to accumulated data exceeding configured capacity, leading to active key eviction.

## 2. Recommended Steps
1.  **Validate Memory Details:** Connect to `aria-redis-1` (or the relevant Redis instance) and execute `docker exec -it aria-redis-1 redis-cli info memory` to confirm current memory metrics and identify specific eviction details.
2.  **Identify Large Keys:** Run `redis-cli --bigkeys` to analyze key patterns contributing most significantly to memory consumption. This helps in understanding data distribution and potential optimization targets.
3.  **Purge Expired/Volatile Keys:** Execute `redis-cli MEMORY PURGE` to actively free up memory by removing expired or volatile keys. This is applicable as `used_memory_gb` (13.4GB) is well above the 1.5GB threshold for this action.
4.  **Adjust Eviction Policy (Temporary):** If memory pressure persists, consider temporarily setting the eviction policy to `allkeys-lru` using `redis-cli CONFIG SET maxmemory-policy allkeys-lru` to optimize eviction based on least recently used keys across all data.

## 3. Relevant Context from KB
*   **[Playbook-002_Redis_Memory_Eviction.pdf — 80.6% relevance]:** This playbook directly addresses Redis memory usage exceeding 85%, causing premature key eviction and potential loss of RAG context. It outlines diagnostic steps (`info memory`, `bigkeys`) and mitigation actions (`MEMORY PURGE`, `CONFIG SET maxmemory-policy allkeys-lru`).
*   **[RB-002_Redis_Memory_Saturation.pdf — 74.3% relevance]:** Describes scenarios where `aria-redis-1` experiences performance degradation due to memory saturation, leading to high cache miss rates and increased latency. Recommends verifying memory usage and purging the cache.
*   **[RUNBOOK-AUTO-CACHE-90a86901.md — 76.3% relevance]:** Documents a critical past incident ([P1] Redis Cache OOM - Out of Memory) where Redis memory reached 98%, causing blocked write commands and significant application impact. This serves as a warning for the current alert's potential escalation.

```json
{
  ""root_cause"": ""redis-cache"",
  ""service_affected"": ""redis-cache""
}
```",3
B1-auth-latency-db-rootcause,auth_p1_latency,B,d21ae185-2e05-48a1-986c-b1f83923e829,2026-09-01T21:16:17.794947,aria_db,True,RUNBOOK-AUTO-ARIA_DB-2beee1e3.md; RB-001_PostgreSQL_Connection_Exhaustion.pdf; RB-003_PostgreSQL_Slow_Queries.pdf,True,False,False,19.9,OK,Requiere razonar via topologia: auth-service -> aria_db.,"## 1. Quick Diagnosis
`auth-service` is experiencing critical P99 latency (8200ms) and a high timeout rate (3.4%), causing login failures. This precisely matches a documented past incident where `aria_db` (PostgreSQL) was identified as the root cause due to issues like slow queries or connection pool exhaustion (`idle in transaction`), with `redis-cache` also playing a role in mitigation.

## 2. Recommended Steps
1.  **Inspect `aria_db`**: Immediately investigate `aria_db` for long-running queries, `idle in transaction` sessions, or connection pool exhaustion. Use `pg_stat_activity` for active query analysis and connection status.
2.  **Check `redis-cache`**: Monitor `redis-cache` for memory saturation, high latency, or increased eviction rates, as it was involved in past mitigations for similar `auth-service` incidents.

## 3. Relevant Context from KB
*   **[RUNBOOK-AUTO-ARIA_DB-2beee1e3.md]**: Directly matches the incident's symptoms (P99 > 8s, 3.4% timeouts) for `auth-service`, identifying `aria_db` as the root cause (slow queries, connection pool exhaustion) and mentioning `redis-cache` in mitigation.
*   **[RB-001_PostgreSQL_Connection_Exhaustion.pdf]** (cited in `RUNBOOK-AUTO-ARIA_DB-b2300d9c.md` context): Provides diagnostic steps for `pg_stat_activity` to address connection pool exhaustion.
*   **[RB-003_PostgreSQL_Slow_Queries.pdf]** (cited in `RUNBOOK-AUTO-ARIA_DB-b2300d9c.md` context): Highlights `idle in transaction` blocking queries as a common root cause for severe latency and high timeouts.
*   **Similar Past Incidents**: Multiple ""P1 Latency spike on auth-service — p99 > 8s"" alerts have occurred recently (e.g., 2026-08-31, 2026-08-24), indicating a recurring pattern.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""aria_db""
}
```",1
B1-auth-latency-db-rootcause,auth_p1_latency,B,49d7fecd-889c-4173-815c-d93a1548eb73,2026-09-01T21:16:43.106695,aria_db,True,RUNBOOK-AUTO-ARIA_DB-2beee1e3.md; RB-003_PostgreSQL_Slow_Queries.pdf; RB-001_PostgreSQL_Connection_Exhaustion.pdf; RB-002_Redis_Memory_Saturation.pdf,True,False,False,24.1,OK,Requiere razonar via topologia: auth-service -> aria_db.,"1.  **Quick diagnosis**
    `auth-service` is experiencing critical P99 latency (8200ms) and a high timeout rate (3.4%), leading to user login failures. This pattern strongly indicates an upstream dependency issue, most likely `aria_db` degradation or `redis-cache` saturation.

2.  **Recommended steps**
    1.  **Diagnose `aria_db`:** Investigate `aria_db` for long-running queries (`idle in transaction`) or connection pool exhaustion using `pg_stat_activity`.
    2.  **Inspect `redis-cache`:** Monitor `redis-cache` metrics for memory saturation, high CPU utilization, or increased latency.
    3.  **Review `auth-service` logs:** Examine `auth-service` logs for specific errors related to database connections, query timeouts, or cache interaction failures.

3.  **Relevant context from KB**
    *   **[RUNBOOK-AUTO-ARIA_DB-2beee1e3.md]**: Directly matches the current incident's service (`auth-service`), P99 latency (> 8000ms), and timeout rate (3.4%). This runbook identified `aria_db` (PostgreSQL) as the root cause (slow queries, `idle in transaction`, connection pool exhaustion), with `redis-cache` involved in mitigation.
    *   **[RB-003_PostgreSQL_Slow_Queries.pdf]**: Details symptoms of severe latency (p99 > 5000ms) and high timeout rates (>3%), consistent with current alert, and points to `idle in transaction` as a common root cause.
    *   **[RB-001_PostgreSQL_Connection_Exhaustion.pdf]**: Describes `aria_db` connection pool exhaustion leading to latency and errors, relevant to the current `auth-service` issues.
    *   **[RB-002_Redis_Memory_Saturation.pdf]**: While the alert metrics are higher, Redis saturation is presented as a potential contributor to degraded latency and moderate error rates.
    *   Similar past incidents: Multiple P1 alerts titled ""Latency spike on auth-service — p99 > 8s"" have occurred, suggesting a recurring problem.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""external""
}
```",2
B1-auth-latency-db-rootcause,auth_p1_latency,B,8f6aa300-d40a-403a-9f8b-afbc964a4c53,2026-09-01T21:17:12.596519,aria_db,True,RUNBOOK-AUTO-ARIA_DB-2beee1e3.md; RB-003_PostgreSQL_Slow_Queries.pdf; RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md; RB-001_PostgreSQL_Connection_Exhaustion.pdf; RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md,True,False,False,19.9,OK,Requiere razonar via topologia: auth-service -> aria_db.,"**1. Quick diagnosis**
The `auth-service` is experiencing critical P99 latency (8200ms) and a 3.4% timeout rate, leading to login failures. This strongly indicates a downstream dependency issue, specifically `aria_db` (PostgreSQL) as the primary suspect, with `redis-cache` potentially contributing or being involved in mitigation.

**2. Recommended steps**
1.  **Diagnose `aria_db`:**
    *   Query `pg_stat_activity` to identify `idle in transaction` queries or diagnose connection pool exhaustion.
    *   Review `aria_db` server logs for recent slow queries, lock contention, or error patterns.
    *   Monitor `aria_db` resource utilization (CPU, memory, disk I/O) for spikes.
2.  **Inspect `redis-cache`:**
    *   Check `redis-cache` memory utilization, hit/miss ratio, and command latency metrics.
    *   Review `redis-cache` logs for any signs of memory saturation, evictions, or critical errors.
3.  **Review `auth-service` logs:** Analyze `auth-service` application logs for specific error messages, elevated query times to dependencies, or high-volume request patterns.

**3. Relevant context from KB**
*   **[RUNBOOK-AUTO-ARIA_DB-2beee1e3.md]:** Directly matches the current incident's symptoms: `auth-service` affected, P99 latency > 8000ms (current 8200ms), timeout rate 3.4%, and login failures. It identifies `aria_db` as the root cause (e.g., slow queries, `idle in transaction`, connection pool exhaustion) and notes `redis-cache` involvement in mitigation.
*   **[RB-003_PostgreSQL_Slow_Queries.pdf] (from [RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md]):** Describes severe latency (p99 > 5000ms) and high timeout rates (>3%) with `idle in transaction` blocking queries as a common root cause, consistent with observed metrics.
*   **[RB-001_PostgreSQL_Connection_Exhaustion.pdf] (from [RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md]):** Provides diagnostic steps for `pg_stat_activity` to address connection pool exhaustion, a likely `aria_db` issue.
*   **Similar Past Incidents:** Two prior P1 latency spikes on `auth-service` with `p99 > 8s` (2026-08-31 and 2026-08-24) indicate a recurring pattern.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""aria_db""
}
```",3
C1-payment-no-coverage,payment_p1_error_rate,C,1d2cedbe-b7f7-47b6-9184-68ef8dbff0f0,2026-09-01T21:17:37.828970,aria_db,False,RUNBOOK-AUTO-ARIA_DB-b2300d9c.md; RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md; RB-003_PostgreSQL_Slow_Queries.pdf; RB-001_PostgreSQL_Connection_Exhaustion.pdf; RB-002_Redis_Memory_Saturation.pdf; RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md,False,True,False,11.8,OK,OJO al leer resultados: en la Fase 1 v1 este caso 'fallo' pero el texto mostro razonamiento topologico legitimo (payment-service -> aria_db es una dependencia real del sistema). No es alucinacion automatica si vuelve a pasar - leer el texto completo. El Tier E es el que da la senal limpia de alucinacion real.,"## 1. Quick diagnosis
`payment-service` is experiencing a P1 incident with a critical error rate (12.3%) and severe p99 latency (4823ms). This indicates a bottleneck in a core dependency, most likely the `aria_db` (PostgreSQL database) due to connection exhaustion or blocked transactions. Redis cache saturation is a less probable, but potential, contributing factor.

## 2. Recommended steps
1.  **Diagnose `aria_db`:** Immediately check `aria_db` for active connections, `idle in transaction` queries, long-running queries, and resource utilization (CPU, memory, I/O). Use `pg_stat_activity` to identify problematic queries or connection exhaustion.
2.  **Review `payment-service` logs:** Look for specific database connection errors, transaction timeouts, or application-level exceptions pointing to the root cause.
3.  **Monitor `redis-cache`:** Verify `redis-cache` health for memory saturation or high latency, though it's less likely the primary cause.
4.  **Restart `payment-service` (controlled):** If `aria_db` is confirmed stable and not the bottleneck, a controlled restart of `payment-service` instances might clear transient issues.
5.  **Escalate `aria_db` team:** If `aria_db` shows severe issues, engage the database administration team for deeper analysis and resolution.

## 3. Relevant context from KB
*   **[RUNBOOK-AUTO-ARIA_DB-b2300d9c.md]** (77.7% relevance) explicitly confirms a P1 incident for `payment-service` / `aria_db` with `error_rate: 12.3%` and `p99_latency: 4823ms`, identifying the PostgreSQL database as the most likely bottleneck due to connection exhaustion or blocked transactions.
*   **[RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md]** (81.1% relevance) reinforces these symptoms, citing `[RB-003_PostgreSQL_Slow_Queries.pdf]` for severe latency (p99 > 5000ms) and high timeout rates (>3%) often caused by `idle in transaction` blocking queries, and `[RB-001_PostgreSQL_Connection_Exhaustion.pdf]` for connection pool exhaustion and `pg_stat_activity` diagnostic steps.
*   `[RB-002_Redis_Memory_Saturation.pdf]` (within **[RUNBOOK-AUTO-PAYMENT-SERVICE-894bd98f.md]** context) describes symptoms of Redis saturation (1500-3500ms latency, 4-8% error rates), which are less severe than current metrics but warrant investigation.
*   **Similar Past Incidents:** Multiple prior P1 alerts titled ""[P1] High error rate on payment-service"" have occurred (e.g., 2026-08-31, 2026-08-27, 2026-08-26), indicating a recurring pattern.

```json
{
  ""root_cause"": ""aria_db"",
  ""service_affected"": ""payment-service""
}
```",1
